Name,Gender,House,Season,Total
Black Walder Rivers,Female,,2,0
Black Walder Rivers,Female,,3,63
Black Walder Rivers,Female,,4,0
Black Walder Rivers,Female,,5,0
Black Walder Rivers,Female,,6,90
Black Walder Rivers,Female,,7,0
Black Walder Rivers,Female,,8,0
Yara Greyjoy,Female,Greyjoy,1,0
Yara Greyjoy,Female,Greyjoy,2,562
Yara Greyjoy,Female,Greyjoy,3,76
Yara Greyjoy,Female,Greyjoy,4,218
Yara Greyjoy,Female,Greyjoy,5,0
Yara Greyjoy,Female,Greyjoy,6,754
Yara Greyjoy,Female,Greyjoy,7,95
Yara Greyjoy,Female,Greyjoy,8,134
Euron Greyjoy,Male,Greyjoy,1,0
Euron Greyjoy,Male,Greyjoy,2,0
Euron Greyjoy,Male,Greyjoy,3,0
Euron Greyjoy,Male,Greyjoy,4,0
Euron Greyjoy,Male,Greyjoy,5,0
Euron Greyjoy,Male,Greyjoy,6,423
Euron Greyjoy,Male,Greyjoy,7,629
Euron Greyjoy,Male,Greyjoy,8,175
Aeron Greyjoy,Male,Greyjoy,1,0
Aeron Greyjoy,Male,Greyjoy,2,0
Aeron Greyjoy,Male,Greyjoy,3,0
Aeron Greyjoy,Male,Greyjoy,4,0
Aeron Greyjoy,Male,Greyjoy,5,0
Aeron Greyjoy,Male,Greyjoy,6,161
Aeron Greyjoy,Male,Greyjoy,7,0
Aeron Greyjoy,Male,Greyjoy,8,0
Balon Greyjoy,Female,Greyjoy,1,0
Balon Greyjoy,Female,Greyjoy,2,476
Balon Greyjoy,Female,Greyjoy,3,174
Balon Greyjoy,Female,Greyjoy,4,0
Balon Greyjoy,Female,Greyjoy,5,0
Balon Greyjoy,Female,Greyjoy,6,167
Balon Greyjoy,Female,Greyjoy,7,0
Balon Greyjoy,Female,Greyjoy,8,0
Dagmer Cleftjaw,Male,,1,0
Dagmer Cleftjaw,Male,,2,156
Dagmer Cleftjaw,Male,,3,0
Dagmer Cleftjaw,Male,,4,0
Dagmer Cleftjaw,Male,,5,0
Dagmer Cleftjaw,Male,,6,0
Dagmer Cleftjaw,Male,,7,0
Dagmer Cleftjaw,Male,,8,0
Black Lorren,Male,,1,0
Black Lorren,Male,,2,129
Black Lorren,Male,,3,0
Black Lorren,Male,,4,0
Black Lorren,Male,,5,0
Black Lorren,Male,,6,0
Black Lorren,Male,,7,0
Black Lorren,Male,,8,0
Gregor Clegane,Female,,1,0
Gregor Clegane,Female,,2,0
Gregor Clegane,Female,,3,0
Gregor Clegane,Female,,4,0
Gregor Clegane,Female,,5,0
Gregor Clegane,Female,,6,0
Gregor Clegane,Female,,7,0
Gregor Clegane,Female,,8,0
Kevan Lannister,Male,Lannister,1,100
Kevan Lannister,Male,Lannister,2,81
Kevan Lannister,Male,Lannister,3,0
Kevan Lannister,Male,Lannister,4,0
Kevan Lannister,Male,Lannister,5,163
Kevan Lannister,Male,Lannister,6,121
Kevan Lannister,Male,Lannister,7,0
Kevan Lannister,Male,Lannister,8,0
Lancel Lannister,Male,Lannister,1,59
Lancel Lannister,Male,Lannister,2,418
Lancel Lannister,Male,Lannister,3,0
Lancel Lannister,Male,Lannister,4,0
Lancel Lannister,Male,Lannister,5,179
Lancel Lannister,Male,Lannister,6,92
Lancel Lannister,Male,Lannister,7,0
Lancel Lannister,Male,Lannister,8,0
Polliver,Male,,1,0
Polliver,Male,,2,71
Polliver,Male,,3,0
Polliver,Male,,4,313
Polliver,Male,,5,0
Polliver,Male,,6,0
Polliver,Male,,7,0
Polliver,Male,,8,0
Alton Lannister,Male,Lannister,1,0
Alton Lannister,Male,Lannister,2,348
Alton Lannister,Male,Lannister,3,0
Alton Lannister,Male,Lannister,4,0
Alton Lannister,Male,Lannister,5,0
Alton Lannister,Male,Lannister,6,0
Alton Lannister,Male,Lannister,7,0
Alton Lannister,Male,Lannister,8,0
Amory Lorch,Female,,1,0
Amory Lorch,Female,,2,106
Amory Lorch,Female,,3,0
Amory Lorch,Female,,4,0
Amory Lorch,Female,,5,0
Amory Lorch,Female,,6,0
Amory Lorch,Female,,7,0
Amory Lorch,Female,,8,0
